<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
DAX 30;D;14/08/23;0000;15832.17;15937.78;15817.59;15904.25;0;0
DAX 30;D;15/08/23;0000;15904.25;15923.13;15703.03;15767.28;0;0
DAX 30;D;16/08/23;0000;15767.28;15814.66;15725.1;15789.45;0;0
DAX 30;D;17/08/23;0000;15789.45;15793.53;15664.3;15676.9;0;0
DAX 30;D;18/08/23;0000;15676.9;15676.9;15468.65;15574.26;0;0
DAX 30;D;21/08/23;0000;15574.26;15710.21;15571.82;15603.28;0;0
DAX 30;D;22/08/23;0000;15603.28;15799.34;15603.28;15705.62;0;0
DAX 30;D;23/08/23;0000;15705.62;15820.95;15672.43;15728.41;0;0
DAX 30;D;24/08/23;0000;15728.41;15896.74;15618.69;15621.49;0;0
DAX 30;D;25/08/23;0000;15621.49;15739.78;15578.97;15631.82;0;0
DAX 30;D;28/08/23;0000;15631.82;15804.95;15631.82;15792.61;0;0
DAX 30;D;29/08/23;0000;15792.61;15942.12;15792.61;15930.88;0;0
DAX 30;D;30/08/23;0000;15930.88;15960.4;15823.33;15891.93;0;0
DAX 30;D;31/08/23;0000;15891.93;16042.66;15891.93;15947.08;0;0
DAX 30;D;01/09/23;0000;15947.08;15984.59;15840.25;15840.34;0;0
DAX 30;D;04/09/23;0000;15840.34;15958.74;15795.97;15824.85;0;0
DAX 30;D;05/09/23;0000;15824.85;15838.44;15691.49;15771.71;0;0
DAX 30;D;06/09/23;0000;15771.71;15781.89;15676.51;15741.37;0;0
DAX 30;D;07/09/23;0000;15741.37;15794.72;15661.38;15718.66;0;0
DAX 30;D;08/09/23;0000;15718.66;15783.38;15577.04;15740.3;0;0
DAX 30;D;10/09/23;0000;15740.3;15740.3;15740.3;15740.3;0;0
S&P 100;D;14/08/23;0000;2079.45;2096.44;2074.12;2096.14;0;0
S&P 100;D;15/08/23;0000;2096.14;2096.14;2069.71;2072.86;0;0
S&P 100;D;16/08/23;0000;2072.86;2079.08;2055.35;2055.8;0;0
S&P 100;D;17/08/23;0000;2055.8;2064.49;2037.59;2041.06;0;0
S&P 100;D;18/08/23;0000;2041.06;2045.65;2022.31;2039.32;0;0
S&P 100;D;19/08/23;0000;2039.32;2039.32;2039.32;2039.32;0;0
S&P 100;D;21/08/23;0000;2039.32;2061.74;2037.66;2058.36;0;0
S&P 100;D;22/08/23;0000;2058.36;2069.32;2049.65;2052.5;0;0
S&P 100;D;23/08/23;0000;2052.5;2081.59;2052.5;2077.56;0;0
S&P 100;D;24/08/23;0000;2077.56;2090.13;2046.02;2046.35;0;0
S&P 100;D;25/08/23;0000;2046.35;2066.77;2034.97;2060.44;0;0
S&P 100;D;26/08/23;0000;2060.44;2060.44;2060.44;2060.44;0;0
S&P 100;D;28/08/23;0000;2060.44;2076.37;2060.44;2072.48;0;0
S&P 100;D;29/08/23;0000;2072.48;2107.49;2071.91;2106.03;0;0
S&P 100;D;30/08/23;0000;2106.03;2117.92;2102.75;2114.29;0;0
S&P 100;D;31/08/23;0000;2114.29;2125.51;2112.27;2113.84;0;0
S&P 100;D;01/09/23;0000;2113.84;2128.84;2107.41;2114.73;0;0
S&P 100;D;02/09/23;0000;2114.73;2114.73;2114.73;2114.73;0;0
S&P 100;D;05/09/23;0000;2114.73;2118.8;2108.81;2112.23;0;0
S&P 100;D;06/09/23;0000;2112.23;2112.23;2081.08;2092.19;0;0
S&P 100;D;07/09/23;0000;2092.19;2092.19;2071.44;2085.3;0;0
S&P 100;D;08/09/23;0000;2085.3;2097.86;2084.71;2090.38;0;0
S&P 100;D;09/09/23;0000;2090.38;2090.38;2090.38;2090.38;0;0
S&P 100;D;10/09/23;0000;2090.38;2090.38;2090.38;2090.38;0;0
Nikkei 225;D;14/08/23;0000;32456.72;32613.99;32031.54;32059.91;0;0
Nikkei 225;D;15/08/23;0000;32372.53;32403.93;32217.52;32238.89;0;0
Nikkei 225;D;16/08/23;0000;31965.58;31997.28;31766.82;31766.82;0;0
Nikkei 225;D;17/08/23;0000;31621.98;31704.08;31309.68;31626;0;0
Nikkei 225;D;18/08/23;0000;31321.26;31644.89;31275.25;31450.76;0;0
Nikkei 225;D;21/08/23;0000;31552.85;31758.7;31409.86;31565.64;0;0
Nikkei 225;D;22/08/23;0000;31792.6;31906.1;31693.76;31856.71;0;0
Nikkei 225;D;23/08/23;0000;31717.91;32039.6;31717.91;32010.26;0;0
Nikkei 225;D;24/08/23;0000;32130.52;32297.91;32063.14;32287.21;0;0
Nikkei 225;D;25/08/23;0000;31840.91;31885.53;31572.06;31624.28;0;0
Nikkei 225;D;28/08/23;0000;31915.68;32205.48;31881.93;32169.99;0;0
Nikkei 225;D;29/08/23;0000;32280.57;32389.12;32186.57;32226.97;0;0
Nikkei 225;D;30/08/23;0000;32432.95;32557.45;32300.56;32333.46;0;0
Nikkei 225;D;31/08/23;0000;32361.02;32692.76;32359.15;32619.34;0;0
Nikkei 225;D;01/09/23;0000;32521.15;32845.46;32499.44;32710.62;0;0
Nikkei 225;D;04/09/23;0000;32797.32;32939.18;32714.94;32939.18;0;0
Nikkei 225;D;05/09/23;0000;32941.41;33036.76;32784.32;33036.76;0;0
Nikkei 225;D;06/09/23;0000;33115.06;33282.15;33088.22;33241.02;0;0
Nikkei 225;D;07/09/23;0000;33118.55;33322.45;32986.35;32991.08;0;0
Nikkei 225;D;08/09/23;0000;32916.25;32920.43;32512.8;32606.84;0;0
Nikkei 225;D;10/09/23;0000;32606.84;32606.84;32606.84;32606.84;0;0
NASDAQ 100;D;14/08/23;0000;14988.417;15206.2629;14972.0105;15205.5855;0;0
NASDAQ 100;D;15/08/23;0000;15172.079;15192.8842;15014.609;15037.6475;0;0
NASDAQ 100;D;16/08/23;0000;15021.6297;15077.0482;14874.0235;14876.4695;0;0
NASDAQ 100;D;17/08/23;0000;14943.3361;14949.5845;14698.2877;14715.8104;0;0
NASDAQ 100;D;18/08/23;0000;14590.0148;14744.5272;14557.8292;14694.8371;0;0
NASDAQ 100;D;21/08/23;0000;14762.0064;14958.8651;14739.367;14936.6859;0;0
NASDAQ 100;D;22/08/23;0000;15035.0732;15037.7938;14884.0201;14908.9623;0;0
NASDAQ 100;D;23/08/23;0000;14947.5754;15188.8635;14947.5754;15148.0556;0;0
NASDAQ 100;D;24/08/23;0000;15278.9309;15278.9861;14814.8337;14816.4419;0;0
NASDAQ 100;D;25/08/23;0000;14858.9311;15001.2915;14715.3611;14941.827;0;0
NASDAQ 100;D;28/08/23;0000;15035.4786;15086.2316;14948.9238;15052.4603;0;0
NASDAQ 100;D;29/08/23;0000;15043.0243;15391.561;15034.5439;15376.5476;0;0
NASDAQ 100;D;30/08/23;0000;15386.666;15484.8262;15341.9432;15462.4308;0;0
NASDAQ 100;D;31/08/23;0000;15475.4304;15575.0143;15466.4105;15501.0744;0;0
NASDAQ 100;D;01/09/23;0000;15600.9533;15618.8537;15429.3596;15490.8636;0;0
NASDAQ 100;D;05/09/23;0000;15490.8636;15556.8466;15419.9603;15508.2357;0;0
NASDAQ 100;D;06/09/23;0000;15467.3223;15486.9984;15289.4797;15371.443;0;0
NASDAQ 100;D;07/09/23;0000;15174.2213;15288.1963;15138.7255;15258.5222;0;0
NASDAQ 100;D;08/09/23;0000;15265.574;15374.2197;15244.0618;15280.2302;0;0
NASDAQ 100;D;10/09/23;0000;15280.2302;15280.2302;15280.2302;15280.2302;0;0
